"time","Amm_mgL"
"07/08/2020 15:",1.59
"07/08/2020 16:",1.82
"07/08/2020 17:",2.035
"07/08/2020 18:",2.145
"07/08/2020 19:",2.265
"07/08/2020 20:",2.34
"07/08/2020 21:",2.315
"07/08/2020 22:",2.24
"07/08/2020 23:",2.2
"08/08/2020 00:",2.14
"08/08/2020 01:",2.015
"08/08/2020 02:",1.895
"08/08/2020 03:",1.77
"08/08/2020 04:",1.555
"08/08/2020 05:",1.435
"08/08/2020 06:",1.45
"08/08/2020 07:",1.305
"08/08/2020 08:",1.0645
"08/08/2020 09:",1.0145
"08/08/2020 10:",1.075
"08/08/2020 11:",1.05
"08/08/2020 12:",1.07
"08/08/2020 13:",1.24
"08/08/2020 14:",1.47
"08/08/2020 15:",1.64
"08/08/2020 16:",1.805
"08/08/2020 17:",1.93
"08/08/2020 18:",2.05
"08/08/2020 19:",2.18
"08/08/2020 20:",2.175
"08/08/2020 21:",2.145
"08/08/2020 22:",2.095
"08/08/2020 23:",1.97
"09/08/2020 00:",1.775
"09/08/2020 01:",1.675
"09/08/2020 02:",1.65
"09/08/2020 03:",1.53
"09/08/2020 04:",1.385
"09/08/2020 05:",1.19
"09/08/2020 06:",1.11
"09/08/2020 07:",0.9805
"09/08/2020 08:",0.808
"09/08/2020 09:",0.817
"09/08/2020 10:",0.792
"09/08/2020 11:",0.8035
"09/08/2020 12:",0.911
"09/08/2020 13:",1.035
"09/08/2020 14:",1.23
"09/08/2020 15:",1.43
"09/08/2020 16:",1.595
"09/08/2020 17:",1.79
"09/08/2020 18:",1.915
"09/08/2020 19:",1.925
"09/08/2020 20:",1.91
"09/08/2020 21:",1.895
"09/08/2020 22:",1.835
"09/08/2020 23:",1.78
"10/08/2020 00:",1.71
"10/08/2020 01:",1.53
"10/08/2020 02:",1.315
"10/08/2020 03:",1.165
"10/08/2020 04:",0.973
"10/08/2020 05:",0.827
"10/08/2020 06:",0.793
"10/08/2020 07:",0.6805
"10/08/2020 08:",0.5435
"10/08/2020 09:",0.523
"10/08/2020 10:",0.5675
"10/08/2020 11:",0.604
"10/08/2020 12:",0.5925
"10/08/2020 13:",0.6375
"10/08/2020 14:",0.8475
"10/08/2020 15:",0.9625
"10/08/2020 16:",1.3725
"10/08/2020 17:",1.88
"10/08/2020 18:",2.01
"10/08/2020 19:",2.1
"10/08/2020 20:",2.155
"10/08/2020 21:",2.18
"10/08/2020 22:",2.125
"10/08/2020 23:",2.09
"11/08/2020 00:",2.1
"11/08/2020 01:",2.07
"11/08/2020 02:",2.03
"11/08/2020 03:",1.91
"11/08/2020 04:",1.795
"11/08/2020 05:",1.72
"11/08/2020 06:",1.59
"11/08/2020 07:",1.485
"11/08/2020 08:",1.42
"11/08/2020 09:",1.405
"11/08/2020 10:",1.23
"11/08/2020 11:",1.075
"11/08/2020 12:",1.23
"11/08/2020 13:",1.44
"11/08/2020 14:",1.62
"11/08/2020 15:",1.75
"11/08/2020 16:",1.975
"11/08/2020 17:",2.2
"11/08/2020 18:",2.31
"11/08/2020 19:",2.405
"11/08/2020 20:",2.42
"11/08/2020 21:",2.41
"11/08/2020 22:",2.42
"11/08/2020 23:",2.395
"12/08/2020 00:",2.36
"12/08/2020 01:",2.285
"12/08/2020 02:",2.23
"12/08/2020 03:",2.14
"12/08/2020 04:",1.985
"12/08/2020 05:",1.825
"12/08/2020 06:",1.68
"12/08/2020 07:",1.545
"12/08/2020 08:",1.38
"12/08/2020 09:",0.965
"12/08/2020 10:",0.88
"12/08/2020 11:",1.0485
"12/08/2020 12:",1.0085
"12/08/2020 13:",1.33
"12/08/2020 14:",1.745
"12/08/2020 15:",1.95
"12/08/2020 16:",2.155
"12/08/2020 17:",2.33
"12/08/2020 18:",2.405
"12/08/2020 19:",2.445
"12/08/2020 20:",2.45
"12/08/2020 21:",2.465
"12/08/2020 22:",2.485
"12/08/2020 23:",2.49
"13/08/2020 00:",2.43
"13/08/2020 01:",2.345
"13/08/2020 02:",2.255
"13/08/2020 03:",2.145
"13/08/2020 04:",1.975
"13/08/2020 05:",1.82
"13/08/2020 06:",1.79
"13/08/2020 07:",1.62
"13/08/2020 08:",1.295
"13/08/2020 09:",1.165
"13/08/2020 10:",1.18
"13/08/2020 11:",1.175
"13/08/2020 12:",2.17
"13/08/2020 13:",NA
"13/08/2020 14:",NA
"13/08/2020 15:",NA
"13/08/2020 16:",NA
"13/08/2020 17:",NA
"13/08/2020 18:",NA
"13/08/2020 19:",NA
"13/08/2020 20:",NA
"13/08/2020 21:",NA
"13/08/2020 22:",NA
"13/08/2020 23:",NA
"14/08/2020 00:",NA
"14/08/2020 01:",NA
"14/08/2020 02:",NA
"14/08/2020 03:",NA
"14/08/2020 04:",NA
"14/08/2020 05:",2.91
"14/08/2020 06:",2.77
"14/08/2020 07:",2.72
"14/08/2020 08:",2.605
"14/08/2020 09:",2.505
"14/08/2020 10:",2.4
"14/08/2020 11:",2.235
"14/08/2020 12:",2.175
"14/08/2020 13:",2.165
"14/08/2020 14:",2.16
"14/08/2020 15:",2.2
"14/08/2020 16:",2.33
"14/08/2020 17:",2.445
"14/08/2020 18:",2.595
"14/08/2020 19:",2.825
"14/08/2020 20:",2.95
"14/08/2020 21:",2.99
"14/08/2020 22:",2.94
"14/08/2020 23:",2.78
"15/08/2020 00:",2.645
"15/08/2020 01:",2.495
"15/08/2020 02:",2.36
"15/08/2020 03:",2.245
"15/08/2020 04:",2.075
"15/08/2020 05:",1.925
"15/08/2020 06:",1.85
"15/08/2020 07:",1.725
"15/08/2020 08:",1.545
"15/08/2020 09:",1.525
"15/08/2020 10:",1.55
"15/08/2020 11:",1.54
"15/08/2020 12:",1.535
"15/08/2020 13:",1.595
"15/08/2020 14:",1.69
"15/08/2020 15:",1.72
"15/08/2020 16:",1.88
"15/08/2020 17:",2.09
"15/08/2020 18:",2.31
"15/08/2020 19:",2.485
"15/08/2020 20:",2.525
"15/08/2020 21:",2.595
"15/08/2020 22:",2.635
"15/08/2020 23:",2.605
"16/08/2020 00:",2.535
"16/08/2020 01:",2.43
"16/08/2020 02:",2.41
"16/08/2020 03:",2.22
"16/08/2020 04:",2.02
"16/08/2020 05:",1.875
"16/08/2020 06:",1.71
"16/08/2020 07:",1.61
"16/08/2020 08:",1.47
"16/08/2020 09:",1.505
"16/08/2020 10:",1.58
"16/08/2020 11:",1.595
"16/08/2020 12:",1.67
"16/08/2020 13:",1.79
"16/08/2020 14:",1.995
"16/08/2020 15:",2.21
"16/08/2020 16:",2.54
"16/08/2020 17:",2.815
"16/08/2020 18:",NA
"16/08/2020 19:",NA
"16/08/2020 20:",NA
"16/08/2020 21:",NA
"16/08/2020 22:",NA
"16/08/2020 23:",NA
"17/08/2020 00:",NA
"17/08/2020 01:",NA
"17/08/2020 02:",NA
"17/08/2020 03:",2.845
"17/08/2020 04:",2.705
"17/08/2020 05:",2.615
"17/08/2020 06:",2.54
"17/08/2020 07:",2.4
"17/08/2020 08:",2.24
"17/08/2020 09:",2.28
"17/08/2020 10:",2.265
"17/08/2020 11:",2.155
"17/08/2020 12:",2
"17/08/2020 13:",2.1
"17/08/2020 14:",2.54
"17/08/2020 15:",2.775
"17/08/2020 16:",NA
"17/08/2020 17:",NA
"17/08/2020 18:",NA
"17/08/2020 19:",NA
"17/08/2020 20:",NA
"17/08/2020 21:",NA
"17/08/2020 22:",NA
"17/08/2020 23:",NA
"18/08/2020 00:",NA
"18/08/2020 01:",NA
"18/08/2020 02:",NA
"18/08/2020 03:",NA
"18/08/2020 04:",2.93
"18/08/2020 05:",2.565
"18/08/2020 06:",2.305
"18/08/2020 07:",2.285
"18/08/2020 08:",2.235
"18/08/2020 09:",2.075
"18/08/2020 10:",1.93
"18/08/2020 11:",1.86
"18/08/2020 12:",1.69
"18/08/2020 13:",1.64
"18/08/2020 14:",1.8
"18/08/2020 15:",1.855
"18/08/2020 16:",1.995
"18/08/2020 17:",2.175
"18/08/2020 18:",2.285
"18/08/2020 19:",2.3
"18/08/2020 20:",2.28
"18/08/2020 21:",2.285
"18/08/2020 22:",2.22
"18/08/2020 23:",2.09
"19/08/2020 00:",1.865
"19/08/2020 01:",1.685
"19/08/2020 02:",1.56
"19/08/2020 03:",1.425
"19/08/2020 04:",1.39
"19/08/2020 05:",1.215
"19/08/2020 06:",1.115
"19/08/2020 07:",1.115
"19/08/2020 08:",0.967
"19/08/2020 09:",0.962
"19/08/2020 10:",1.075
"19/08/2020 11:",1.1
"19/08/2020 12:",1.155
"19/08/2020 13:",1.265
"19/08/2020 14:",1.37
"19/08/2020 15:",1.48
"19/08/2020 16:",1.735
"19/08/2020 17:",2.105
"19/08/2020 18:",2.4
"19/08/2020 19:",2.665
"19/08/2020 20:",2.845
"19/08/2020 21:",2.865
"19/08/2020 22:",2.81
"19/08/2020 23:",2.84
"20/08/2020 00:",2.82
"20/08/2020 01:",2.805
"20/08/2020 02:",2.73
"20/08/2020 03:",2.56
"20/08/2020 04:",2.455
"20/08/2020 05:",2.4
"20/08/2020 06:",2.365
"20/08/2020 07:",2.355
"20/08/2020 08:",2.36
"20/08/2020 09:",2.305
"20/08/2020 10:",2.065
"20/08/2020 11:",1.8
"20/08/2020 12:",1.825
"20/08/2020 13:",2.01
"20/08/2020 14:",2.165
"20/08/2020 15:",2.34
"20/08/2020 16:",2.69
"20/08/2020 17:",NA
"20/08/2020 18:",NA
"20/08/2020 19:",NA
"20/08/2020 20:",NA
"20/08/2020 21:",NA
"20/08/2020 22:",NA
"20/08/2020 23:",NA
"21/08/2020 00:",NA
"21/08/2020 01:",NA
"21/08/2020 02:",NA
"21/08/2020 03:",2.935
"21/08/2020 04:",2.76
"21/08/2020 05:",2.665
"21/08/2020 06:",2.42
"21/08/2020 07:",2.185
"21/08/2020 08:",1.98
"21/08/2020 09:",1.97
"21/08/2020 10:",2.01
"21/08/2020 11:",1.905
"21/08/2020 12:",1.94
"21/08/2020 13:",2.125
"21/08/2020 14:",2.325
"21/08/2020 15:",2.48
"21/08/2020 16:",2.83
"21/08/2020 17:",NA
"21/08/2020 18:",NA
"21/08/2020 19:",NA
"21/08/2020 20:",NA
"21/08/2020 21:",NA
"21/08/2020 22:",NA
"21/08/2020 23:",NA
"22/08/2020 00:",NA
"22/08/2020 01:",NA
"22/08/2020 02:",NA
"22/08/2020 03:",2.99
"22/08/2020 04:",2.835
"22/08/2020 05:",2.755
"22/08/2020 06:",2.545
"22/08/2020 07:",2.3
"22/08/2020 08:",2.265
"22/08/2020 09:",2.085
"22/08/2020 10:",1.96
"22/08/2020 11:",1.96
"22/08/2020 12:",1.995
"22/08/2020 13:",2.22
"22/08/2020 14:",2.45
"22/08/2020 15:",2.64
"22/08/2020 16:",NA
"22/08/2020 17:",NA
"22/08/2020 18:",NA
"22/08/2020 19:",NA
"22/08/2020 20:",NA
"22/08/2020 21:",NA
"22/08/2020 22:",NA
"22/08/2020 23:",NA
"23/08/2020 00:",NA
"23/08/2020 01:",NA
"23/08/2020 02:",NA
"23/08/2020 03:",NA
"23/08/2020 04:",NA
"23/08/2020 05:",NA
"23/08/2020 06:",2.935
"23/08/2020 07:",2.835
"23/08/2020 08:",2.59
"23/08/2020 09:",2.38
"23/08/2020 10:",2.18
"23/08/2020 11:",1.91
"23/08/2020 12:",1.695
"23/08/2020 13:",1.655
"23/08/2020 14:",1.635
"23/08/2020 15:",1.685
"23/08/2020 16:",1.72
"23/08/2020 17:",1.765
"23/08/2020 18:",1.88
"23/08/2020 19:",1.965
"23/08/2020 20:",2.035
"23/08/2020 21:",1.975
"23/08/2020 22:",1.98
"23/08/2020 23:",1.97
"24/08/2020 00:",1.675
"24/08/2020 01:",1.39
"24/08/2020 02:",1.27
"24/08/2020 03:",1.325
"24/08/2020 04:",1.37
"24/08/2020 05:",1.245
"24/08/2020 06:",1.095
"24/08/2020 07:",1.05
"24/08/2020 08:",0.994
"24/08/2020 09:",1.019
"24/08/2020 10:",0.9105
"24/08/2020 11:",0.7585
"24/08/2020 12:",0.841
"24/08/2020 13:",0.8995
"24/08/2020 14:",0.951
"24/08/2020 15:",0.9475
"24/08/2020 16:",0.887
"24/08/2020 17:",0.871
"24/08/2020 18:",0.957
"24/08/2020 19:",1.145
"24/08/2020 20:",1.24
"24/08/2020 21:",1.23
"24/08/2020 22:",1.265
"24/08/2020 23:",1.25
"25/08/2020 00:",1.16
"25/08/2020 01:",1.065
"25/08/2020 02:",0.99
"25/08/2020 03:",0.911
"25/08/2020 04:",0.814
"25/08/2020 05:",0.731
"25/08/2020 06:",0.7485
"25/08/2020 07:",0.9005
"25/08/2020 08:",0.9035
"25/08/2020 09:",0.695
"25/08/2020 10:",0.6375
"25/08/2020 11:",0.7345
"25/08/2020 12:",0.8205
"25/08/2020 13:",1.002
"25/08/2020 14:",1.23
"25/08/2020 15:",1.38
"25/08/2020 16:",1.8
"25/08/2020 17:",2.385
"25/08/2020 18:",2.72
"25/08/2020 19:",2.89
"25/08/2020 20:",2.98
"25/08/2020 21:",NA
"25/08/2020 22:",NA
"25/08/2020 23:",NA
"26/08/2020 00:",NA
"26/08/2020 01:",NA
"26/08/2020 02:",NA
"26/08/2020 03:",NA
"26/08/2020 04:",2.92
"26/08/2020 05:",2.8
"26/08/2020 06:",2.625
"26/08/2020 07:",2.555
"26/08/2020 08:",2.45
"26/08/2020 09:",2.355
"26/08/2020 10:",2.225
"26/08/2020 11:",1.99
"26/08/2020 12:",2.03111111111111
"26/08/2020 13:",2.21333333333333
"26/08/2020 14:",2.4225
"26/08/2020 15:",2.6
"26/08/2020 16:",2.645
"26/08/2020 17:",NA
"26/08/2020 18:",NA
"26/08/2020 19:",NA
"26/08/2020 20:",NA
"26/08/2020 21:",NA
"26/08/2020 22:",NA
"26/08/2020 23:",NA
"27/08/2020 00:",NA
"27/08/2020 01:",NA
"27/08/2020 02:",NA
"27/08/2020 03:",NA
"27/08/2020 04:",NA
"27/08/2020 05:",NA
"27/08/2020 06:",NA
"27/08/2020 07:",NA
"27/08/2020 08:",2.705
"27/08/2020 09:",2.5940625
"27/08/2020 10:",2.5703125
"27/08/2020 11:",2.5465625
"27/08/2020 12:",NA
"27/08/2020 13:",NA
"27/08/2020 14:",NA
"27/08/2020 15:",NA
"27/08/2020 16:",NA
"27/08/2020 17:",NA
"27/08/2020 18:",NA
"27/08/2020 19:",NA
"27/08/2020 20:",NA
"27/08/2020 21:",NA
"27/08/2020 22:",NA
"27/08/2020 23:",NA
"28/08/2020 00:",NA
"28/08/2020 01:",NA
"28/08/2020 02:",NA
"28/08/2020 03:",NA
"28/08/2020 04:",NA
"28/08/2020 05:",NA
"28/08/2020 06:",NA
"28/08/2020 07:",NA
"28/08/2020 08:",NA
"28/08/2020 09:",NA
"28/08/2020 10:",NA
"28/08/2020 11:",NA
"28/08/2020 12:",NA
"28/08/2020 13:",NA
"28/08/2020 14:",1.9053125
"28/08/2020 15:",1.8815625
"28/08/2020 16:",1.8578125
"28/08/2020 17:",1.8775
"28/08/2020 18:",2.08
"28/08/2020 19:",2.355
"28/08/2020 20:",2.3975
"28/08/2020 21:",2.5
"28/08/2020 22:",2.5825
"28/08/2020 23:",2.6
"29/08/2020 00:",2.4525
"29/08/2020 01:",2.445
"29/08/2020 02:",2.4075
"29/08/2020 03:",2.39
"29/08/2020 04:",2.2875
"29/08/2020 05:",2.3025
"29/08/2020 06:",2.1875
"29/08/2020 07:",2.105
"29/08/2020 08:",1.87
"29/08/2020 09:",1.84
"29/08/2020 10:",1.8125
"29/08/2020 11:",1.7325
"29/08/2020 12:",1.7975
"29/08/2020 13:",2.05
"29/08/2020 14:",2.265
"29/08/2020 15:",2.18
"29/08/2020 16:",2.375
"29/08/2020 17:",NA
"29/08/2020 18:",NA
"29/08/2020 19:",NA
"29/08/2020 20:",NA
"29/08/2020 21:",NA
"29/08/2020 22:",NA
"29/08/2020 23:",NA
"30/08/2020 00:",NA
"30/08/2020 01:",NA
"30/08/2020 02:",NA
"30/08/2020 03:",NA
"30/08/2020 04:",NA
"30/08/2020 05:",NA
"30/08/2020 06:",NA
"30/08/2020 07:",NA
"30/08/2020 08:",2.98
"30/08/2020 09:",2.89
"30/08/2020 10:",NA
"30/08/2020 11:",2.84
"30/08/2020 12:",2.73
"30/08/2020 13:",NA
"30/08/2020 14:",NA
"30/08/2020 15:",NA
"30/08/2020 16:",NA
"30/08/2020 17:",NA
"30/08/2020 18:",NA
"30/08/2020 19:",NA
"30/08/2020 20:",NA
"30/08/2020 21:",NA
"30/08/2020 22:",NA
"30/08/2020 23:",NA
"31/08/2020 00:",NA
"31/08/2020 01:",NA
"31/08/2020 02:",NA
"31/08/2020 03:",NA
"31/08/2020 04:",NA
"31/08/2020 05:",NA
"31/08/2020 06:",NA
"31/08/2020 07:",NA
"31/08/2020 08:",2.95
"31/08/2020 09:",NA
"31/08/2020 10:",NA
"31/08/2020 11:",NA
"31/08/2020 12:",NA
"31/08/2020 13:",NA
"31/08/2020 14:",NA
"31/08/2020 15:",NA
"31/08/2020 16:",NA
"31/08/2020 17:",NA
"31/08/2020 18:",NA
"31/08/2020 19:",NA
"31/08/2020 20:",NA
"31/08/2020 21:",NA
"31/08/2020 22:",NA
"31/08/2020 23:",NA
"01/09/2020 00:",NA
"01/09/2020 01:",NA
"01/09/2020 02:",NA
"01/09/2020 03:",2.93
"01/09/2020 04:",2.79
"01/09/2020 05:",2.72
"01/09/2020 06:",2.34
"01/09/2020 07:",2.28
"01/09/2020 08:",2.22
"01/09/2020 09:",2.34
"01/09/2020 10:",2.23
"01/09/2020 11:",2.03
"01/09/2020 12:",1.99
"01/09/2020 13:",2.23
"01/09/2020 14:",2.15
"01/09/2020 15:",2.29
"01/09/2020 16:",2.43
"01/09/2020 17:",2.93
"01/09/2020 18:",NA
"01/09/2020 19:",NA
"01/09/2020 20:",NA
"01/09/2020 21:",NA
"01/09/2020 22:",NA
"01/09/2020 23:",NA
"02/09/2020 00:",NA
"02/09/2020 01:",NA
"02/09/2020 02:",NA
"02/09/2020 03:",2.92
"02/09/2020 04:",2.81
"02/09/2020 05:",2.53
"02/09/2020 06:",2.26
"02/09/2020 07:",2.32
"02/09/2020 08:",2.26
"02/09/2020 09:",2.27
"02/09/2020 10:",2.2824
"02/09/2020 11:",2.2948
"02/09/2020 12:",2.3072
"02/09/2020 13:",NA
"02/09/2020 14:",NA
"02/09/2020 15:",NA
"02/09/2020 16:",NA
"02/09/2020 17:",NA
"02/09/2020 18:",NA
"02/09/2020 19:",NA
"02/09/2020 20:",NA
"02/09/2020 21:",NA
"02/09/2020 22:",NA
"02/09/2020 23:",NA
"03/09/2020 00:",NA
"03/09/2020 01:",NA
"03/09/2020 02:",NA
"03/09/2020 03:",NA
"03/09/2020 04:",NA
"03/09/2020 05:",NA
"03/09/2020 06:",NA
"03/09/2020 07:",2.5428
"03/09/2020 08:",2.5552
"03/09/2020 09:",2.5676
"03/09/2020 10:",2.58
"03/09/2020 11:",2.37
"03/09/2020 12:",2.37
"03/09/2020 13:",2.6
"03/09/2020 14:",2.71
"03/09/2020 15:",2.74
"03/09/2020 16:",NA
"03/09/2020 17:",NA
"03/09/2020 18:",NA
"03/09/2020 19:",NA
"03/09/2020 20:",NA
"03/09/2020 21:",NA
"03/09/2020 22:",NA
"03/09/2020 23:",NA
"04/09/2020 00:",NA
"04/09/2020 01:",NA
"04/09/2020 02:",NA
"04/09/2020 03:",NA
"04/09/2020 04:",NA
"04/09/2020 05:",NA
"04/09/2020 06:",NA
"04/09/2020 07:",NA
"04/09/2020 08:",2.92
"04/09/2020 09:",2.86
"04/09/2020 10:",2.91
"04/09/2020 11:",2.94
"04/09/2020 12:",NA
"04/09/2020 13:",NA
"04/09/2020 14:",NA
"04/09/2020 15:",NA
"04/09/2020 16:",NA
"04/09/2020 17:",NA
"04/09/2020 18:",NA
"04/09/2020 19:",NA
"04/09/2020 20:",NA
"04/09/2020 21:",NA
"04/09/2020 22:",NA
"04/09/2020 23:",NA
"05/09/2020 00:",NA
"05/09/2020 01:",NA
"05/09/2020 02:",NA
"05/09/2020 03:",NA
"05/09/2020 04:",NA
"05/09/2020 05:",NA
"05/09/2020 06:",3
"05/09/2020 07:",2.95
"05/09/2020 08:",2.75
"05/09/2020 09:",2.76
"05/09/2020 10:",2.89
"05/09/2020 11:",2.24
"05/09/2020 12:",2.32
"05/09/2020 13:",2.54
"05/09/2020 14:",2.59
"05/09/2020 15:",2.68
"05/09/2020 16:",2.8
"05/09/2020 17:",NA
"05/09/2020 18:",NA
"05/09/2020 19:",NA
"05/09/2020 20:",NA
"05/09/2020 21:",NA
"05/09/2020 22:",NA
"05/09/2020 23:",NA
"06/09/2020 00:",NA
"06/09/2020 01:",NA
"06/09/2020 02:",NA
"06/09/2020 03:",NA
"06/09/2020 04:",NA
"06/09/2020 05:",2.91
"06/09/2020 06:",2.9
"06/09/2020 07:",2.9
"06/09/2020 08:",2.51
"06/09/2020 09:",1.96
"06/09/2020 10:",2.22
"06/09/2020 11:",2.15
"06/09/2020 12:",1.86
"06/09/2020 13:",2.01
"06/09/2020 14:",1.91
"06/09/2020 15:",1.75
"06/09/2020 16:",1.66
"06/09/2020 17:",1.81
"06/09/2020 18:",1.77
"06/09/2020 19:",1.9
"06/09/2020 20:",2.2
"06/09/2020 21:",2.25
"06/09/2020 22:",2.37
"06/09/2020 23:",2.43
"07/09/2020 00:",2.14
"07/09/2020 01:",2.24
"07/09/2020 02:",2.18
"07/09/2020 03:",2.42
"07/09/2020 04:",2.22
"07/09/2020 05:",2.17
"07/09/2020 06:",1.94
"07/09/2020 07:",1.9
"07/09/2020 08:",1.69
"07/09/2020 09:",1.07
"07/09/2020 10:",1.09
"07/09/2020 11:",1
"07/09/2020 12:",0.971
"07/09/2020 13:",1.01
"07/09/2020 14:",0.956
"07/09/2020 15:",1.01
"07/09/2020 16:",1.28
"07/09/2020 17:",1.75
"07/09/2020 18:",2.14
"07/09/2020 19:",2.37
"07/09/2020 20:",2.41
"07/09/2020 21:",2.3
"07/09/2020 22:",2.49
"07/09/2020 23:",2.75
"08/09/2020 00:",2.89
"08/09/2020 01:",2.91
"08/09/2020 02:",2.87
"08/09/2020 03:",2.97
"08/09/2020 04:",2.86
"08/09/2020 05:",2.8
"08/09/2020 06:",2.68
"08/09/2020 07:",2.55
"08/09/2020 08:",2.64
"08/09/2020 09:",2.02
"08/09/2020 10:",2.11
"08/09/2020 11:",1.84
"08/09/2020 12:",1.9
"08/09/2020 13:",2.25
"08/09/2020 14:",2.28
"08/09/2020 15:",2.42
"08/09/2020 16:",2.76
"08/09/2020 17:",NA
"08/09/2020 18:",NA
"08/09/2020 19:",NA
"08/09/2020 20:",NA
"08/09/2020 21:",NA
"08/09/2020 22:",NA
"08/09/2020 23:",NA
"09/09/2020 00:",NA
"09/09/2020 01:",NA
"09/09/2020 02:",NA
"09/09/2020 03:",NA
"09/09/2020 04:",NA
"09/09/2020 05:",NA
"09/09/2020 06:",NA
"09/09/2020 07:",NA
"09/09/2020 08:",NA
"09/09/2020 09:",NA
"09/09/2020 10:",2.7
"09/09/2020 11:",2.25
"09/09/2020 12:",2.33
"09/09/2020 13:",2.72
"09/09/2020 14:",2.52
"09/09/2020 15:",2.59
"09/09/2020 16:",NA
"09/09/2020 17:",NA
"09/09/2020 18:",NA
"09/09/2020 19:",NA
"09/09/2020 20:",NA
"09/09/2020 21:",NA
"09/09/2020 22:",NA
"09/09/2020 23:",NA
"10/09/2020 00:",NA
"10/09/2020 01:",NA
"10/09/2020 02:",NA
"10/09/2020 03:",NA
"10/09/2020 04:",NA
"10/09/2020 05:",NA
"10/09/2020 06:",NA
"10/09/2020 07:",NA
"10/09/2020 08:",NA
"10/09/2020 09:",NA
"10/09/2020 10:",NA
"10/09/2020 11:",2.48
"10/09/2020 12:",2.42
"10/09/2020 13:",NA
"10/09/2020 14:",NA
"10/09/2020 15:",NA
"10/09/2020 16:",2.97
"10/09/2020 17:",NA
"10/09/2020 18:",NA
"10/09/2020 19:",NA
"10/09/2020 20:",NA
"10/09/2020 21:",NA
"10/09/2020 22:",NA
"10/09/2020 23:",NA
"11/09/2020 00:",NA
"11/09/2020 01:",NA
"11/09/2020 02:",NA
"11/09/2020 03:",NA
"11/09/2020 04:",NA
"11/09/2020 05:",NA
"11/09/2020 06:",NA
"11/09/2020 07:",NA
"11/09/2020 08:",NA
"11/09/2020 09:",NA
"11/09/2020 10:",1.27
"11/09/2020 11:",0.725
"11/09/2020 12:",0.135
"11/09/2020 13:",NA
"11/09/2020 14:",NA
"11/09/2020 15:",NA
"11/09/2020 16:",NA
"11/09/2020 17:",NA
"11/09/2020 18:",NA
"11/09/2020 19:",NA
"11/09/2020 20:",NA
"11/09/2020 21:",NA
"11/09/2020 22:",NA
"11/09/2020 23:",NA
"12/09/2020 00:",NA
"12/09/2020 01:",NA
"12/09/2020 02:",NA
"12/09/2020 03:",NA
"12/09/2020 04:",NA
"12/09/2020 05:",NA
"12/09/2020 06:",NA
"12/09/2020 07:",NA
"12/09/2020 08:",NA
"12/09/2020 09:",NA
"12/09/2020 10:",NA
"12/09/2020 11:",1.22
"12/09/2020 12:",1.38
"12/09/2020 13:",1.32
"12/09/2020 14:",1.43
"12/09/2020 15:",1.42
"12/09/2020 16:",1.67
"12/09/2020 17:",2.19
"12/09/2020 18:",2.48
"12/09/2020 19:",2.71
"12/09/2020 20:",2.74
"12/09/2020 21:",2.8
"12/09/2020 22:",2.79
"12/09/2020 23:",2.73
"13/09/2020 00:",2.75
"13/09/2020 01:",2.75
"13/09/2020 02:",2.7
"13/09/2020 03:",2.52
"13/09/2020 04:",2.36
"13/09/2020 05:",2.35
"13/09/2020 06:",2.39
"13/09/2020 07:",2.61
"13/09/2020 08:",2.52
"13/09/2020 09:",2.11
"13/09/2020 10:",2.28
"13/09/2020 11:",1.77
"13/09/2020 12:",1.6
"13/09/2020 13:",2.25
"13/09/2020 14:",1.99
"13/09/2020 15:",2.46
"13/09/2020 16:",2.58
"13/09/2020 17:",2.82
"13/09/2020 18:",NA
"13/09/2020 19:",NA
"13/09/2020 20:",NA
"13/09/2020 21:",NA
"13/09/2020 22:",NA
"13/09/2020 23:",NA
"14/09/2020 00:",NA
"14/09/2020 01:",NA
"14/09/2020 02:",NA
"14/09/2020 03:",NA
"14/09/2020 04:",3
"14/09/2020 05:",2.92
"14/09/2020 06:",2.84
"14/09/2020 07:",2.32
"14/09/2020 08:",2.3
"14/09/2020 09:",1.9
"14/09/2020 10:",1.74
"14/09/2020 11:",1.53
"14/09/2020 12:",1.45
"14/09/2020 13:",1.59
"14/09/2020 14:",1.69
"14/09/2020 15:",1.87
"14/09/2020 16:",2.09
"14/09/2020 17:",2.14
"14/09/2020 18:",2.24
"14/09/2020 19:",2.53
"14/09/2020 20:",2.48
"14/09/2020 21:",2.4
"14/09/2020 22:",2.48
"14/09/2020 23:",2.4
"15/09/2020 00:",2.35
"15/09/2020 01:",2.28
"15/09/2020 02:",2.02
"15/09/2020 03:",1.9
"15/09/2020 04:",1.74
"15/09/2020 05:",1.67
"15/09/2020 06:",1.56
"15/09/2020 07:",1.58
"15/09/2020 08:",1.62
"15/09/2020 09:",1.35
"15/09/2020 10:",1.11
"15/09/2020 11:",1.03
"15/09/2020 12:",1.06
"15/09/2020 13:",1.23
"15/09/2020 14:",1.19
"15/09/2020 15:",1.22
"15/09/2020 16:",1.34
"15/09/2020 17:",1.77
"15/09/2020 18:",2.2
"15/09/2020 19:",2.54
"15/09/2020 20:",2.57
"15/09/2020 21:",2.57
"15/09/2020 22:",2.49
"15/09/2020 23:",2.38
"16/09/2020 00:",2.43
"16/09/2020 01:",2.45
"16/09/2020 02:",2.3
"16/09/2020 03:",2.33
"16/09/2020 04:",2.12
"16/09/2020 05:",1.7
