"time","Amm_mgL"
"09/07/2020 21:",NA
"09/07/2020 22:",NA
"09/07/2020 23:",NA
"10/07/2020 00:",NA
"10/07/2020 01:",NA
"10/07/2020 02:",NA
"10/07/2020 03:",NA
"10/07/2020 04:",NA
"10/07/2020 05:",NA
"10/07/2020 06:",NA
"10/07/2020 07:",NA
"10/07/2020 08:",NA
"10/07/2020 09:",NA
"10/07/2020 10:",NA
"10/07/2020 11:",NA
"10/07/2020 12:",NA
"10/07/2020 13:",NA
"10/07/2020 14:",NA
"10/07/2020 15:",NA
"10/07/2020 16:",NA
"10/07/2020 17:",NA
"10/07/2020 18:",NA
"10/07/2020 19:",NA
"10/07/2020 20:",NA
"10/07/2020 21:",NA
"10/07/2020 22:",NA
"10/07/2020 23:",NA
"11/07/2020 00:",NA
"11/07/2020 01:",NA
"11/07/2020 02:",NA
"11/07/2020 03:",NA
"11/07/2020 04:",NA
"11/07/2020 05:",NA
"11/07/2020 06:",NA
"11/07/2020 07:",0.437217948051948
"11/07/2020 08:",0.436510768831169
"11/07/2020 09:",0.43580358961039
"11/07/2020 10:",0.445974
"11/07/2020 11:",0.439357
"11/07/2020 12:",0.622668
"11/07/2020 13:",0.799086
"11/07/2020 14:",1.01076
"11/07/2020 15:",1.11343
"11/07/2020 16:",1.12135
"11/07/2020 17:",1.35658
"11/07/2020 18:",1.31151
"11/07/2020 19:",1.45333
"11/07/2020 20:",1.4754
"11/07/2020 21:",1.44626
"11/07/2020 22:",1.45017
"11/07/2020 23:",1.39648
"12/07/2020 00:",1.33854
"12/07/2020 01:",1.27075
"12/07/2020 02:",1.17794
"12/07/2020 03:",1.01055
"12/07/2020 04:",0.868046
"12/07/2020 05:",0.813808
"12/07/2020 06:",0.663099
"12/07/2020 07:",0.489659
"12/07/2020 08:",0.37581
"12/07/2020 09:",0.414212
"12/07/2020 10:",0.40694
"12/07/2020 11:",0.517476
"12/07/2020 12:",0.748566
"12/07/2020 13:",0.980136
"12/07/2020 14:",1.09582
"12/07/2020 15:",1.22043
"12/07/2020 16:",1.2275
"12/07/2020 17:",1.50816
"12/07/2020 18:",1.49533
"12/07/2020 19:",1.59549
"12/07/2020 20:",1.61567
"12/07/2020 21:",1.55675
"12/07/2020 22:",1.48576
"12/07/2020 23:",1.51268
"13/07/2020 00:",1.41281
"13/07/2020 01:",1.30104
"13/07/2020 02:",1.15702
"13/07/2020 03:",0.996149
"13/07/2020 04:",0.759446
"13/07/2020 05:",0.644037
"13/07/2020 06:",0.477727
"13/07/2020 07:",0.422787
"13/07/2020 08:",0.27728
"13/07/2020 09:",0.232949
"13/07/2020 10:",0.261873
"13/07/2020 11:",0.30557
"13/07/2020 12:",0.492702
"13/07/2020 13:",0.790571
"13/07/2020 14:",0.920244
"13/07/2020 15:",1.14453
"13/07/2020 16:",1.18168
"13/07/2020 17:",1.50763
"13/07/2020 18:",1.50709
"13/07/2020 19:",1.67034
"13/07/2020 20:",1.59892
"13/07/2020 21:",1.57018
"13/07/2020 22:",1.57257
"13/07/2020 23:",1.52178
"14/07/2020 00:",1.43294
"14/07/2020 01:",1.32365
"14/07/2020 02:",1.11767
"14/07/2020 03:",1.06358
"14/07/2020 04:",0.813916
"14/07/2020 05:",0.672526
"14/07/2020 06:",0.573177
"14/07/2020 07:",0.445932
"14/07/2020 08:",0.375653
"14/07/2020 09:",0.296013
"14/07/2020 10:",0.282502
"14/07/2020 11:",0.343116
"14/07/2020 12:",0.503992
"14/07/2020 13:",0.806326
"14/07/2020 14:",0.966409
"14/07/2020 15:",1.05644
"14/07/2020 16:",1.17234
"14/07/2020 17:",1.37807
"14/07/2020 18:",1.39094
"14/07/2020 19:",1.52833
