Feature,Mean_Abs_SHAP
PREORE_FEM_ENTRANCE-pH,8.949614268980615e-05
Feed_ration_3d,6.899100922340485e-05
Feed_ration,6.821309606404555e-05
PREORE_FEM_ENTRANCE-Temp [Â°C],5.904552842361158e-05
PREORE_FEM_ENTRANCE-Sal [psu],2.634936733701776e-05
PREORE_FEM_ENTRANCE-ODO [mg/L],8.8741587107866e-06
PREORE_FEM_ENTRANCE-Cond [ÂµS/cm],4.422997625240201e-06
PREORE_FEM_ENTRANCE-NO3 -N [mg/L],4.125451722316934e-06
PREORE_FEM_ENTRANCE-NH4+ [mg/L],1.3977946225800051e-06
