observed_timestamp,PREORE_VAKI-Weight_dailymean [g]
2019-11-20 00:00:00+00:00,70.01104972375691
2019-11-21 00:00:00+00:00,69.66037735849056
2019-11-22 00:00:00+00:00,71.29741379310344
2019-11-23 00:00:00+00:00,66.27456647398844
2019-11-24 00:00:00+00:00,60.64141414141414
2019-11-25 00:00:00+00:00,65.17956656346749
2019-11-26 00:00:00+00:00,67.27755102040817
2019-11-27 00:00:00+00:00,66.08968609865471
2019-11-28 00:00:00+00:00,70.6027397260274
2019-11-29 00:00:00+00:00,68.67622950819673
2019-11-30 00:00:00+00:00,72.30564784053156
2019-12-01 00:00:00+00:00,72.14876033057851
2019-12-02 00:00:00+00:00,66.92244897959183
2019-12-03 00:00:00+00:00,71.96581196581197
2019-12-04 00:00:00+00:00,69.23130841121495
2019-12-05 00:00:00+00:00,71.6421568627451
2019-12-06 00:00:00+00:00,71.78201634877384
2019-12-07 00:00:00+00:00,75.01067073170732
2019-12-09 00:00:00+00:00,74.69654289372599
2019-12-10 00:00:00+00:00,72.66840458811262
2019-12-11 00:00:00+00:00,70.86596119929453
2019-12-12 00:00:00+00:00,77.18150684931507
2019-12-13 00:00:00+00:00,80.07276819204802
2019-12-14 00:00:00+00:00,85.15702479338843
2019-12-15 00:00:00+00:00,86.07404103479037
2019-12-16 00:00:00+00:00,85.3903345724907
2019-12-17 00:00:00+00:00,81.369903320723
2019-12-18 00:00:00+00:00,77.46432748538011
2019-12-19 00:00:00+00:00,83.92140385565992
2019-12-20 00:00:00+00:00,83.26140213708626
2019-12-21 00:00:00+00:00,89.66666666666667
2019-12-22 00:00:00+00:00,82.62481644640235
2019-12-23 00:00:00+00:00,87.96131447587355
2019-12-24 00:00:00+00:00,86.10850599781898
2019-12-25 00:00:00+00:00,90.36632653061224
2019-12-26 00:00:00+00:00,87.96987627756859
2019-12-27 00:00:00+00:00,86.73003033367037
2019-12-28 00:00:00+00:00,88.69223484848484
2019-12-29 00:00:00+00:00,92.20755575785162
2019-12-30 00:00:00+00:00,95.62452591656131
2020-01-07 00:00:00+00:00,108.31508515815085
2020-01-08 00:00:00+00:00,104.1714790807307
2020-01-09 00:00:00+00:00,103.06622879036672
2020-01-10 00:00:00+00:00,102.81660123387549
2020-01-11 00:00:00+00:00,98.70682492581602
2020-01-12 00:00:00+00:00,104.25388601036269
2020-01-17 00:00:00+00:00,105.55172413793103
